userName,score,at,content,content_tokens,content_tokens_fdist,content_tokens_WSW,content_normalized,content_tokens_stemmed,polarity_score,polarity
Ponsi Pedak,5,2022-09-05 13:18:59,sangat mudah untuk bertransaksi,"['sangat', 'mudah', 'untuk', 'bertransaksi']",<FreqDist with 4 samples and 4 outcomes>,"['mudah', 'bertransaksi']","['mudah', 'bertransaksi']","['mudah', 'transaksi']",7,positive
Kak Fetty,5,2022-08-15 7:50:41,setelah sekian purnama tidak bisa daftar akhirnya bisa juga sedikit tips sepertinya untuk pendaftaran harus di jam dan hari kerja jika sudah lebih dari kali video verifikasi tidak bisa upload silahkan ulangi jam kemudian jika masih tidak bisa silahkan uninstal aplikasi ulangi kembali untuk pendaftaran saya kali uninstal aplikasi dan setelah hari dari pendaftaran pertama baru bisa jik sudah dpt email privacy id silahkan email ke callbri untuk meminta bantu supaya bisa lanjut,"['setelah', 'sekian', 'purnama', 'tidak', 'bisa', 'daftar', 'akhirnya', 'bisa', 'juga', 'sedikit', 'tips', 'sepertinya', 'untuk', 'pendaftaran', 'harus', 'di', 'jam', 'dan', 'hari', 'kerja', 'jika', 'sudah', 'lebih', 'dari', 'kali', 'video', 'verifikasi', 'tidak', 'bisa', 'upload', 'silahkan', 'ulangi', 'jam', 'kemudian', 'jika', 'masih', 'tidak', 'bisa', 'silahkan', 'uninstal', 'aplikasi', 'ulangi', 'kembali', 'untuk', 'pendaftaran', 'saya', 'kali', 'uninstal', 'aplikasi', 'dan', 'setelah', 'hari', 'dari', 'pendaftaran', 'pertama', 'baru', 'bisa', 'jik', 'sudah', 'dpt', 'email', 'privacy', 'id', 'silahkan', 'email', 'ke', 'callbri', 'untuk', 'meminta', 'bantu', 'supaya', 'bisa', 'lanjut']",<FreqDist with 48 samples and 73 outcomes>,"['sekian', 'purnama', 'daftar', 'tips', 'pendaftaran', 'jam', 'video', 'verifikasi', 'upload', 'silahkan', 'ulangi', 'jam', 'silahkan', 'uninstal', 'aplikasi', 'ulangi', 'pendaftaran', 'uninstal', 'aplikasi', 'pendaftaran', 'jik', 'email', 'privacy', 'id', 'silahkan', 'email', 'callbri', 'bantu']","['sekian', 'purnama', 'daftar', 'tips', 'pendaftaran', 'jam', 'video', 'verifikasi', 'upload', 'silahkan', 'ulangi', 'jam', 'silahkan', 'uninstal', 'aplikasi', 'ulangi', 'pendaftaran', 'uninstal', 'aplikasi', 'pendaftaran', 'jik', 'email', 'privacy', 'id', 'silahkan', 'email', 'callbri', 'bantu']","['sekian', 'purnama', 'daftar', 'tips', 'daftar', 'jam', 'video', 'verifikasi', 'upload', 'silah', 'ulang', 'jam', 'silah', 'uninstal', 'aplikasi', 'ulang', 'daftar', 'uninstal', 'aplikasi', 'daftar', 'jik', 'email', 'privacy', 'id', 'silah', 'email', 'callbri', 'bantu']",-5,negative
Riani Nur,1,2022-08-15 5:56:08,selalu gagal di perekaman video tulisannya selalu tidak ada koneksi terus koneksi yang bagus itu yang seperti apa heran deh,"['selalu', 'gagal', 'di', 'perekaman', 'video', 'tulisannya', 'selalu', 'tidak', 'ada', 'koneksi', 'terus', 'koneksi', 'yang', 'bagus', 'itu', 'yang', 'seperti', 'apa', 'heran', 'deh']",<FreqDist with 17 samples and 20 outcomes>,"['gagal', 'perekaman', 'video', 'tulisannya', 'koneksi', 'koneksi', 'bagus', 'heran']","['gagal', 'perekaman', 'video', 'tulisannya', 'koneksi', 'koneksi', 'bagus', 'heran']","['gagal', 'rekam', 'video', 'tulis', 'koneksi', 'koneksi', 'bagus', 'heran']",-10,negative
Matary Anto,5,2022-09-05 13:17:11,manatap kali transper cuma detik langsung terkirim,"['manatap', 'kali', 'transper', 'cuma', 'detik', 'langsung', 'terkirim']",<FreqDist with 7 samples and 7 outcomes>,"['manatap', 'transper', 'detik', 'terkirim']","['manatap', 'transper', 'detik', 'terkirim']","['manatap', 'transper', 'detik', 'kirim']",2,positive
zubeir Siregar,2,2022-08-15 5:01:54,baguswalaupun saya tidak bisa operasikan aplikasi brimo karna lupa password dan untuk reset password memerlukan nomor kartu atm sementara kartu atm belum punya,"['baguswalaupun', 'saya', 'tidak', 'bisa', 'operasikan', 'aplikasi', 'brimo', 'karna', 'lupa', 'password', 'dan', 'untuk', 'reset', 'password', 'memerlukan', 'nomor', 'kartu', 'atm', 'sementara', 'kartu', 'atm', 'belum', 'punya']",<FreqDist with 20 samples and 23 outcomes>,"['baguswalaupun', 'operasikan', 'aplikasi', 'brimo', 'karna', 'lupa', 'password', 'reset', 'password', 'nomor', 'kartu', 'atm', 'kartu', 'atm']","['baguswalaupun', 'operasikan', 'aplikasi', 'brimo', 'karena', 'lupa', 'password', 'reset', 'password', 'nomor', 'kartu', 'atm', 'kartu', 'atm']","['baguswalaupun', 'operasi', 'aplikasi', 'brimo', 'karena', 'lupa', 'password', 'reset', 'password', 'nomor', 'kartu', 'atm', 'kartu', 'atm']",-8,negative
Nendah nurhayati,5,2022-08-15 4:48:06,bagus bangetsemua jadi gampang dengan brimo transfer kapan aja di mana aja bisamantap pokok nya mahsaya kasih bintang nya yasemoga ke depan nya lebih bagus lagi tidak mengecewakansukses teru buat bank bri nya dan brimo,"['bagus', 'bangetsemua', 'jadi', 'gampang', 'dengan', 'brimo', 'transfer', 'kapan', 'aja', 'di', 'mana', 'aja', 'bisamantap', 'pokok', 'nya', 'mahsaya', 'kasih', 'bintang', 'nya', 'yasemoga', 'ke', 'depan', 'nya', 'lebih', 'bagus', 'lagi', 'tidak', 'mengecewakansukses', 'teru', 'buat', 'bank', 'bri', 'nya', 'dan', 'brimo']",<FreqDist with 29 samples and 35 outcomes>,"['bagus', 'bangetsemua', 'gampang', 'brimo', 'transfer', 'bisamantap', 'pokok', 'mahsaya', 'kasih', 'bintang', 'yasemoga', 'bagus', 'mengecewakansukses', 'teru', 'bank', 'bri', 'brimo']","['bagus', 'bangetsemua', 'gampang', 'brimo', 'transfer', 'bisamantap', 'pokok', 'mahsaya', 'kasih', 'bintang', 'yasemoga', 'bagus', 'mengecewakansukses', 'teru', 'bank', 'bri', 'brimo']","['bagus', 'bangetsemua', 'gampang', 'brimo', 'transfer', 'bisamantap', 'pokok', 'mahsaya', 'kasih', 'bintang', 'yasemoga', 'bagus', 'mengecewakansukses', 'teru', 'bank', 'bri', 'brimo']",-2,negative
Suparmi Ami1978,3,2022-08-15 4:01:33,saya pengguna yang hendak memakai aplikasi initapi setelah verifikasi wajah prosesnya selalu stuckdan selalu muncul notif koneksi internet terputusmohon bantuannya min,"['saya', 'pengguna', 'yang', 'hendak', 'memakai', 'aplikasi', 'initapi', 'setelah', 'verifikasi', 'wajah', 'prosesnya', 'selalu', 'stuckdan', 'selalu', 'muncul', 'notif', 'koneksi', 'internet', 'terputusmohon', 'bantuannya', 'min']",<FreqDist with 20 samples and 21 outcomes>,"['pengguna', 'memakai', 'aplikasi', 'initapi', 'verifikasi', 'wajah', 'prosesnya', 'stuckdan', 'muncul', 'notif', 'koneksi', 'internet', 'terputusmohon', 'bantuannya']","['pengguna', 'memakai', 'aplikasi', 'initapi', 'verifikasi', 'wajah', 'prosesnya', 'stuckdan', 'muncul', 'notif', 'koneksi', 'internet', 'terputusmohon', 'bantuannya']","['guna', 'pakai', 'aplikasi', 'initapi', 'verifikasi', 'wajah', 'proses', 'stuckdan', 'muncul', 'notif', 'koneksi', 'internet', 'terputusmohon', 'bantu']",-7,negative
ari budi,5,2022-09-05 13:16:28,lebih mudah semoga ke depannya lebih baik,"['lebih', 'mudah', 'semoga', 'ke', 'depannya', 'lebih', 'baik']",<FreqDist with 6 samples and 7 outcomes>,"['mudah', 'semoga', 'depannya']","['mudah', 'semoga', 'depannya']","['mudah', 'moga', 'depan']",4,positive
Siti Supiah,5,2022-09-05 12:59:26,sangat membantu dan mudah,"['sangat', 'membantu', 'dan', 'mudah']",<FreqDist with 4 samples and 4 outcomes>,"['membantu', 'mudah']","['membantu', 'mudah']","['bantu', 'mudah']",2,positive
Adan pratama,5,2022-09-05 12:57:13,rekomendasi banget sangat membantu,"['rekomendasi', 'banget', 'sangat', 'membantu']",<FreqDist with 4 samples and 4 outcomes>,"['rekomendasi', 'banget', 'membantu']","['rekomendasi', 'banget', 'membantu']","['rekomendasi', 'banget', 'bantu']",-1,negative
Arfansyah Yuda,5,2022-09-05 12:42:31,mantap untuk urusan transanksi lebih mudah dan cepat itu pun kalau ada saldonya,"['mantap', 'untuk', 'urusan', 'transanksi', 'lebih', 'mudah', 'dan', 'cepat', 'itu', 'pun', 'kalau', 'ada', 'saldonya']",<FreqDist with 13 samples and 13 outcomes>,"['mantap', 'urusan', 'transanksi', 'mudah', 'cepat', 'saldonya']","['mantap', 'urusan', 'transanksi', 'mudah', 'cepat', 'saldonya']","['mantap', 'urus', 'transanksi', 'mudah', 'cepat', 'saldo']",10,positive
Sukarno Karno,5,2022-09-05 12:42:16,bri sangat prakti,"['bri', 'sangat', 'praktis']",<FreqDist with 3 samples and 3 outcomes>,"['bri', 'praktis']","['bri', 'praktis']","['bri', 'praktis']",4,positive
Melisa Hardianasilva,5,2022-09-05 12:41:44,sangat puas pokoknya,"['sangat', 'puas', 'pokoknya']",<FreqDist with 3 samples and 3 outcomes>,"['puas', 'pokoknya']","['puas', 'pokoknya']","['puas', 'pokok']",3,positive
Lukman Priatna,5,2022-09-05 12:31:25,bagus banget saya suka,"['bagus', 'banget', 'saya', 'suka']",<FreqDist with 4 samples and 4 outcomes>,"['bagus', 'banget', 'suka']","['bagus', 'banget', 'suka']","['bagus', 'banget', 'suka']",0,negative
SUPRIANTO Supri,5,2022-09-05 12:31:22,ok lancar dan sukses pemakaian aplikasi brimo,"['ok', 'lancar', 'dan', 'sukses', 'pemakaian', 'aplikasi', 'brimo']",<FreqDist with 7 samples and 7 outcomes>,"['lancar', 'sukses', 'pemakaian', 'aplikasi', 'brimo']","['lancar', 'sukses', 'pemakaian', 'aplikasi', 'brimo']","['lancar', 'sukses', 'pakai', 'aplikasi', 'brimo']",1,positive
MA. VLOG,4,2022-09-05 12:28:14,sampai saat ini cukup memuaskan penggunaan aplikasi brimo simple mudah,"['sampai', 'saat', 'ini', 'cukup', 'memuaskan', 'penggunaan', 'aplikasi', 'brimo', 'simple', 'mudah']",<FreqDist with 10 samples and 10 outcomes>,"['memuaskan', 'penggunaan', 'aplikasi', 'brimo', 'simple', 'mudah']","['memuaskan', 'penggunaan', 'aplikasi', 'brimo', 'simple', 'mudah']","['muas', 'guna', 'aplikasi', 'brimo', 'simple', 'mudah']",8,positive
Mustopo Top,5,2022-09-05 12:26:59,brimo sangat membantu kalo mau tf jauh dr atm thank,"['brimo', 'sangat', 'membantu', 'kalo', 'mau', 'tf', 'jauh', 'dr', 'atm', 'thanks']",<FreqDist with 10 samples and 10 outcomes>,"['brimo', 'membantu', 'tf', 'atm', 'thanks']","['brimo', 'membantu', 'tf', 'atm', 'terimakasih']","['brimo', 'bantu', 'tf', 'atm', 'terimakasih']",4,positive
Lutfiana Laili Alfu Rohmatin,5,2022-08-15 0:27:54,penggunaannya sangat mudah tidak perlu ke bank lagi untuk transfer sehingga lebih mempersingkat waktu bisa untuk mengisi gopay shopeepay juga,"['penggunaannya', 'sangat', 'mudah', 'tidak', 'perlu', 'ke', 'bank', 'lagi', 'untuk', 'transfer', 'sehingga', 'lebih', 'mempersingkat', 'waktu', 'bisa', 'untuk', 'mengisi', 'gopay', 'shopeepay', 'juga']",<FreqDist with 19 samples and 20 outcomes>,"['penggunaannya', 'mudah', 'bank', 'transfer', 'mempersingkat', 'mengisi', 'gopay', 'shopeepay']","['penggunaannya', 'mudah', 'bank', 'transfer', 'mempersingkat', 'mengisi', 'gopay', 'shopeepay']","['guna', 'mudah', 'bank', 'transfer', 'singkat', 'isi', 'gopay', 'shopeepay']",-2,negative
dewa dewi,5,2022-09-05 11:55:43,sangat membantu aplikasi bagus tidak pernah trobl,"['sangat', 'membantu', 'aplikasi', 'bagus', 'tidak', 'pernah', 'troble']",<FreqDist with 7 samples and 7 outcomes>,"['membantu', 'aplikasi', 'bagus', 'troble']","['membantu', 'aplikasi', 'bagus', 'troble']","['bantu', 'aplikasi', 'bagus', 'troble']",-7,negative
Dina Okta Nur Wirananda,5,2022-09-05 11:48:54,aplikasi mobile banking terbaik mudah cepat dan aman,"['aplikasi', 'mobile', 'banking', 'terbaik', 'mudah', 'cepat', 'dan', 'aman']",<FreqDist with 8 samples and 8 outcomes>,"['aplikasi', 'mobile', 'banking', 'terbaik', 'mudah', 'cepat', 'aman']","['aplikasi', 'mobile', 'banking', 'terbaik', 'mudah', 'cepat', 'aman']","['aplikasi', 'mobile', 'banking', 'baik', 'mudah', 'cepat', 'aman']",1,positive
Nurdiyanto Nurdin,5,2022-09-05 11:23:15,mantapp dahhpetahankan pelayanan,"['mantapp', 'dahhpetahankan', 'pelayanan']",<FreqDist with 3 samples and 3 outcomes>,"['mantapp', 'dahhpetahankan', 'pelayanan']","['mantapp', 'dahhpetahankan', 'pelayanan']","['mantapp', 'dahhpetahankan', 'layan']",0,negative
sampur95,5,2022-09-05 11:18:49,mantap deh pokoknya,"['mantap', 'deh', 'pokoknya']",<FreqDist with 3 samples and 3 outcomes>,"['mantap', 'pokoknya']","['mantap', 'pokoknya']","['mantap', 'pokok']",5,positive
Rizal Bayu Setyawan,5,2022-09-05 11:17:30,menarik dengan fitur catatan uang masuk dan keluar bisa ter record,"['menarik', 'dengan', 'fitur', 'catatan', 'uang', 'masuk', 'dan', 'keluar', 'bisa', 'ter', 'record']",<FreqDist with 11 samples and 11 outcomes>,"['menarik', 'fitur', 'catatan', 'uang', 'record']","['menarik', 'fitur', 'catatan', 'uang', 'record']","['tarik', 'fitur', 'catat', 'uang', 'record']",2,positive
Siti Rusmiati,5,2022-09-05 11:08:12,sangat memuaskan denfan pelayanan nya dan sangat membantu,"['sangat', 'memuaskan', 'denfan', 'pelayanan', 'nya', 'dan', 'sangat', 'membantu']",<FreqDist with 7 samples and 8 outcomes>,"['memuaskan', 'denfan', 'pelayanan', 'membantu']","['memuaskan', 'denfan', 'pelayanan', 'membantu']","['muas', 'denfan', 'layan', 'bantu']",4,positive
Lia Yulianti,5,2022-09-05 10:53:50,sangat membantu sekali apalagi buat kita yg males banget keluar,"['sangat', 'membantu', 'sekali', 'apalagi', 'buat', 'kita', 'yg', 'males', 'banget', 'keluar']",<FreqDist with 10 samples and 10 outcomes>,"['membantu', 'males', 'banget']","['membantu', 'males', 'banget']","['bantu', 'males', 'banget']",-5,negative
zales 1234,5,2022-08-14 15:00:27,aplikasi ini sangat membantu saya dalam melakukan transaksi non tunai sangat sangat recommended untuk orang yg biasa melakukan transaksi non tunai jika mesin atm jauh dari lokasi the best pokoknya,"['aplikasi', 'ini', 'sangat', 'membantu', 'saya', 'dalam', 'melakukan', 'transaksi', 'non', 'tunai', 'sangat', 'sangat', 'recommended', 'untuk', 'orang', 'yg', 'biasa', 'melakukan', 'transaksi', 'non', 'tunai', 'jika', 'mesin', 'atm', 'jauh', 'dari', 'lokasi', 'the', 'best', 'pokoknya']",<FreqDist with 24 samples and 30 outcomes>,"['aplikasi', 'membantu', 'transaksi', 'non', 'tunai', 'recommended', 'transaksi', 'non', 'tunai', 'mesin', 'atm', 'lokasi', 'best', 'pokoknya']","['aplikasi', 'membantu', 'transaksi', 'non', 'tunai', 'recommended', 'transaksi', 'non', 'tunai', 'mesin', 'atm', 'lokasi', 'best', 'pokoknya']","['aplikasi', 'bantu', 'transaksi', 'non', 'tunai', 'recommended', 'transaksi', 'non', 'tunai', 'mesin', 'atm', 'lokasi', 'best', 'pokok']",9,positive
Nur Rochman,5,2022-09-05 10:53:28,mempermudah dalam bertransaksi,"['mempermudah', 'dalam', 'bertransaksi']",<FreqDist with 3 samples and 3 outcomes>,"['mempermudah', 'bertransaksi']","['mempermudah', 'bertransaksi']","['mudah', 'transaksi']",7,positive
Agus Solihin,5,2022-09-05 10:52:52,bri jaminan masa hari tua top banget,"['bri', 'jaminan', 'masa', 'hari', 'tua', 'top', 'banget']",<FreqDist with 7 samples and 7 outcomes>,"['bri', 'jaminan', 'tua', 'top', 'banget']","['bri', 'jaminan', 'tua', 'top', 'banget']","['bri', 'jamin', 'tua', 'top', 'banget']",-4,negative
JoshInggrid Tambunan,5,2022-09-05 10:50:34,sangat bermanfaat thanks brimo,"['sangat', 'bermanfaat', 'thanks', 'brimo']",<FreqDist with 4 samples and 4 outcomes>,"['bermanfaat', 'thanks', 'brimo']","['bermanfaat', 'terimakasih', 'brimo']","['manfaat', 'terimakasih', 'brimo']",10,positive
cier cier,5,2022-09-05 10:45:47,sangat bagus mempermudah dalam bertransaksi,"['sangat', 'bagus', 'mempermudah', 'dalam', 'bertransaksi']",<FreqDist with 5 samples and 5 outcomes>,"['bagus', 'mempermudah', 'bertransaksi']","['bagus', 'mempermudah', 'bertransaksi']","['bagus', 'mudah', 'transaksi']",5,positive
Abdul Qodir,5,2022-08-14 10:42:56,aplikasinya sangat mudah dan cepat tidak lemot ada opsi masuk pakai user dan password atau sidik jari dan bisa memilih cara masuknya dengan mudah,"['aplikasinya', 'sangat', 'mudah', 'dan', 'cepat', 'tidak', 'lemot', 'ada', 'opsi', 'masuk', 'pakai', 'user', 'dan', 'password', 'atau', 'sidik', 'jari', 'dan', 'bisa', 'memilih', 'cara', 'masuknya', 'dengan', 'mudah']",<FreqDist with 21 samples and 24 outcomes>,"['aplikasinya', 'mudah', 'cepat', 'lemot', 'opsi', 'pakai', 'user', 'password', 'sidik', 'jari', 'memilih', 'masuknya', 'mudah']","['aplikasinya', 'mudah', 'cepat', 'lambat', 'opsi', 'pakai', 'user', 'password', 'sidik', 'jari', 'memilih', 'masuknya', 'mudah']","['aplikasi', 'mudah', 'cepat', 'lambat', 'opsi', 'pakai', 'user', 'password', 'sidik', 'jari', 'pilih', 'masuk', 'mudah']",-3,negative
SOFAN BARORI,5,2022-09-05 10:39:36,mantap aplikasi yang sangat membantu,"['mantap', 'aplikasi', 'yang', 'sangat', 'membantu']",<FreqDist with 5 samples and 5 outcomes>,"['mantap', 'aplikasi', 'membantu']","['mantap', 'aplikasi', 'membantu']","['mantap', 'aplikasi', 'bantu']",0,negative
febri yudhistira,3,2022-08-14 9:32:50,sudah puluhan kali upload vidio selalu gagal padahal jaringan lancar dan pencahayaan baik mohon diperbaiki lagi,"['sudah', 'puluhan', 'kali', 'upload', 'vidio', 'selalu', 'gagal', 'padahal', 'jaringan', 'lancar', 'dan', 'pencahayaan', 'baik', 'mohon', 'diperbaiki', 'lagi']",<FreqDist with 16 samples and 16 outcomes>,"['puluhan', 'upload', 'vidio', 'gagal', 'jaringan', 'lancar', 'pencahayaan', 'diperbaiki']","['puluhan', 'upload', 'vidio', 'gagal', 'jaringan', 'lancar', 'pencahayaan', 'diperbaiki']","['puluh', 'upload', 'vidio', 'gagal', 'jaring', 'lancar', 'cahaya', 'baik']",3,positive
dhe junior official,5,2022-08-14 9:18:00,kenapa saya tidak bisa buat akun brimo ketika data sudah di masukan semua setelah terima sms link ketika masuk link selalu gagal masuk selalu muncul kata request rejected padahal saya belum punya akun brimo sama sekali,"['kenapa', 'saya', 'tidak', 'bisa', 'buat', 'akun', 'brimo', 'ketika', 'data', 'sudah', 'di', 'masukan', 'semua', 'setelah', 'terima', 'sms', 'link', 'ketika', 'masuk', 'link', 'selalu', 'gagal', 'masuk', 'selalu', 'muncul', 'kata', 'request', 'rejected', 'padahal', 'saya', 'belum', 'punya', 'akun', 'brimo', 'sama', 'sekali']",<FreqDist with 29 samples and 36 outcomes>,"['akun', 'brimo', 'data', 'masukan', 'terima', 'sms', 'link', 'link', 'gagal', 'muncul', 'request', 'rejected', 'akun', 'brimo']","['akun', 'brimo', 'data', 'masukan', 'terima', 'sms', 'link', 'link', 'gagal', 'muncul', 'request', 'rejected', 'akun', 'brimo']","['akun', 'brimo', 'data', 'masuk', 'terima', 'sms', 'link', 'link', 'gagal', 'muncul', 'request', 'rejected', 'akun', 'brimo']",-7,negative
SOFAN BARORI,5,2022-09-05 10:39:36,mantap aplikasi yang sangat membantu,"['mantap', 'aplikasi', 'yang', 'sangat', 'membantu']",<FreqDist with 5 samples and 5 outcomes>,"['mantap', 'aplikasi', 'membantu']","['mantap', 'aplikasi', 'membantu']","['mantap', 'aplikasi', 'bantu']",0,negative
