userName,score,at,content
Reti Panggabean,5,2022-09-05 10:33:47,Sangat membantu transaksi keuangan saya👍
Jody Setiawan,5,2022-09-05 10:33:10,Alhamdulillah.... sungguh sangat membantu sekali.dan mempermudah semua urusan saya 👍👍👍
Zkay dalimba,5,2022-09-05 10:20:51,"Brimo udah bagus dan efisien untuk semua keperluan transaksi, pokoknya mantappp,, masukan aja dari saya: sekarang kartu ATM Simpedes sudah tidak di keluarkan lagi dan sebagai gantinya nasabah harus menggunakan Brimo, kalau bisa Brimo ada fitur ( setor tunai ) karena hampir semua ATM ada setor tunai nya, Terima kasih,🙏🙏🙏"
Mirna D.M,5,2022-09-05 9:38:18,Sangat membantu dan mudah untuk bertransaksi
nina yusnia,5,2022-08-14 6:36:55,"Jadi lebih mudah isi pulsa, bayar BPJS, bayar listrik, cek saldo juga cukup di rumah gak perlu lagi ke ATM, transfer cukup di hp aja, ke ATM sekarang mah cuman tarik tunai aja sisanya cukup di hp aja lewat BRImo. Terimakasih sudah memudahkan untuk bertransaksi"
rara sadam,5,2022-09-05 9:37:46,"berjalan dengan baik, sangat membantu"
Steni Nurdin,5,2022-09-05 9:33:08,"Lebih muda bertransaksi, thanks"
Pilemon Doku,5,2022-09-05 9:32:12,Sangat membantu dan nyaman pake aplikasi BRImo
Cah java Klaten new,5,2022-09-05 9:29:38,Sangat membantu di dalam kebutuhan sehari hari
Ryo Figriawan,5,2022-09-05 9:23:23,Sangat membantu dalam segala hal dan sangat mudah untuk brtransaksi
STR victor,5,2022-08-14 4:46:18,"Sejauh ini oky2 saja. Cuman klw login di Hp yg lain sebelum longout itu todak bisa, saya ganti Hp baru karna rusak jdi susah login."
Tison Tarigan Wapso,5,2022-09-05 9:23:11,Kalau bisa kedepan nya tolong resi nya supaya bisa di print
putra suryasa,5,2022-09-05 9:19:32,Ok.sangat berguna
Panji Asmoro,5,2022-08-14 2:43:03,Tolong kl untuk daftar brimo knp sering error ya? Mertua saya mau daftar tapi error terus. Padahal pulsa kesedot terus. Setiap mau verifikasi error.
Mim 291,5,2022-09-05 9:12:59,"Mudah & cepat , terima kasih BRI"
Fitri Reza,5,2022-09-05 9:09:08,Sayangnya gk bisa mengajukan pinjaman diaplikasi ini
「BBT」 Hanna,5,2022-09-05 8:54:22,Pembayaran via Qris mantap
Fany Rhmasari,5,2022-09-05 8:45:26,"Mempermudah untuk melakukan segala transaksi, wajib untuk menggunakannya"
asp hn,5,2022-09-05 8:40:15,"Sangat mudah,simpel.praktis"
Gerry Prabu,5,2022-08-13 16:35:21,"Bagus n stabil. Tp hrs memerlukan internet yg Stabil juga, Agar Stabil kecepatan data nya."
Andi Zaenal,5,2022-08-13 15:57:09,"interface aplikasi nya userfriendly banget, simple, jelas, praktis, lancar, sehat, dan terasa aman, yg paling penting aman, dan semoga aman terus sy memakai nya, amiinn"
Rahayu Meta02,5,2022-08-13 15:03:46,"Asli inituh yang susah di daftar nya,bner2 yg ngulang2 terus dan bisa di bilang agak repot sihh apalagi di bagian video wajah buat verifikasi data. kedepannya mudah2an di perbaiki lagi,di permudah daftarnya."
Tota Venture,5,2022-09-05 8:36:21,Mantap sekali mempermudah pengiriman dan sebagainya
Awan Setia,5,2022-09-05 8:33:34,"Sangat sangat mudah dan cepat tanpa kendala, semoga kedepan nya lebih cepat dan lebih mudah,"
johan sefian,5,2022-09-05 8:31:51,Sangat membantu
dicky prasetya,5,2022-08-13 11:00:43,"Stok kartu datengnya kapan ya kak? Trus,,, coba kalo ada fitur setor tunai sperti bank sebelah,sama jaringannya lebih diperkuat/diperbaiki lagi, tambah makin joss deh sepertinya kak.."
Eka Wardana,5,2022-08-13 10:20:32,"Bagi saya mantap aplikasi Brimo, semua makin mudah untuk melakukan transaksi, mudah mudahan kedepannya lebih bagus lagi dan ada tambahan pitur pitur yang baru,.."
johan sefian,5,2022-09-05 8:31:51,Sangat membantu
Olvie getruida Legi,5,2022-09-05 8:26:10,Membantu kami lebih mudah utk tranfer dan lain lainnya
adi sutrisno,5,2022-08-13 9:04:13,"aplikasinya membantu banget ya... buat yang gak bisa verikisasi vidio mending langsung dateng aja deh ke bri nya.. jadi langsung di bantu sama pegawai bri nya.. pengalaman sendiri kemarin gak bisa verivikasi vidio lewat hp sendiri begitu ke bank nya, ada pegawai yang bantu lewat laptop ya langsung bisa..."
Hendra Suratman,5,2022-09-05 8:19:06,Sangat membatu banyak hal
Moh Arifin,5,2022-09-05 8:06:57,Transaksi non tunai cukup mudah dari manapun berada👍👍👍
Agus Dwi 412p,5,2022-09-05 8:06:17,puas dan cepat utk transaksi
Rio Potgieters,5,2022-08-13 7:11:00,Aplikasi ini sangat sangat membantu. Hanya saja harus membutuhkan Jaringan Internet yang kuat. Beberapa kali gagal transaksi karna hal itu. Selebihnya oke pisan.
Moelkhan Pulungan,5,2022-08-13 4:41:42,Praktis dan bagus.... Hanya saja kanapa tidak tercatat di pengeluaran jika dilakukan penarikan dengan ATM...?. Program terbaru itu otomatis tersaji didepan jika kita masuk ke Brimo... Nah itu yg saya maksud... Tapi ya sudah lah..
Muklas Adp,5,2022-08-13 4:20:15,"Untuk login masukkan username dan password nya kok salah terus ya, padahal blm lama ganti username dan password nya sekali dimasukkan lg gx bisa, untung aja bisa pakai sidik jari, tapi udh bagus lah. Tolong ya min ditingkatkan lagi.."
Alwan Saifudin,4,2022-08-13 3:58:57,"Kadang kalau kelupaan Log out, akun bisa ke blockir dan harus repot2 ke CS buat mulihinnya. Tapi overall bagus sih app nya"
Tegar,5,2022-09-05 8:03:43,Best m-banking
Wahyu Dian,5,2022-08-13 2:56:38,"Ga ada kata yg lebih baik dari pada ucapan Terimakasih. Terimakasih telah mempermudah segala aktifitas transaksi para nasabah Bank BRI. sukses selalu untuk Bank BRI. Semangat untuk pengembangan yg lebih baik (bukan berarti sejauh ini kurang baik, namun yg baik harus dikembangkan & ditingkatkan untuk menjadi sempurna)."
Rizky Hidayat,4,2022-09-05 7:55:25,Semoga mempermudah semua pekerjaan orang orang yang jujur ya.. terima kasih aplikasinya bos.
Firman M,5,2022-09-05 7:38:54,"Sangat membantu untuk bertransaksi, memudahkan pengisian pulsa dll."
eka syarifudin,5,2022-09-05 7:45:55,sangat membantu mempermudah transaksi
Sang TumenGGung,5,2022-09-05 7:45:46,Sangat memudahkan dan praktis
DBS PELAUT,5,2022-09-05 7:32:37,Sangat memudahkan nasabah untuk bertransa ksi
Nur Cahaya,5,2022-09-05 7:22:40,"Jdi Lebih mudah bertransksi,, tanpa hrus antri di ATM Good bngt"
Melki Marz,5,2022-09-05 7:22:16,Bagus.. dan sangat kreatif
Indra Yosendra,5,2022-09-05 7:15:29,Sangat mudah dan membantu
Natanlia,5,2022-09-05 7:14:04,"Mantap, memudahkan menabung tanpa membawa buku tabungan"
Al Mukarom,5,2022-08-12 18:14:00,"Mantp ,,, bertransaksi lebih mudah gampang praktis lagi Knpa masih dalam perbaikan server yah ,, lama , biasa ny sebentr doang ,,, ini gangguan apa gimana ,, tolong info nya"
bowokz aja,5,2022-09-05 7:13:36,Transaksi bagus
komo melodick,5,2022-09-05 7:12:30,Mantaps semoga tidak sering trouble
Nova Daswin,5,2022-09-05 7:03:11,Lebih mudah dan nyaman
Ridzz_whant,4,2022-08-12 15:15:11,Bri notif per sms 500..lumayan kalu untuk teransaksi banyakya...nlpon cs..harus ke kantor...ga bisa...antara hapus apa edit. Kalu di beri saran untuk edit..knpa tidak di adakan di apps nya..biar nasabah ngatur sendiri minimal berapa mau pake bri notif 🙏
Adeng kips,5,2022-09-05 6:54:57,"puas,kembangkan terrruus"
Mei Sairin,5,2022-08-12 13:05:19,"Setelah beberapa kali gagal akhirnya berhasil juga registrasi, aplikasi yg bagus dan sangat membantu, buat kalian yg masih blum berhasil saran saya coba dipagi hati daftarnya krna sinyal klo pagi hari itu lbh bagus, karna ini pengaalaman saya juga"
Adeng kips,5,2022-09-05 6:54:57,"puas,kembangkan terrruus"
Said Ramdani,5,2022-09-05 6:41:07,Sangat puas
roman nano,5,2022-09-05 6:38:35,"Praktis, aman, nyaman"
Martha Yani,5,2022-09-05 6:38:10,Lebih mudah untuk transaksi
Martha Yani,5,2022-09-05 6:38:10,Lebih mudah untuk transaksi
Nurahsan Jepara,5,2022-09-05 6:31:16,Sangat Memudahkan pelanggan
Iren Choccolatoss,5,2022-08-12 10:31:29,brimo mempermudah sekali. jadi kalo mau rekam vidio itu suara nya yg agak terdengar dan wajah nya harus yg pas juga.. aku kemarin ngulang cuma 2x dah jadi. tencu brimo sangat membantu
Ari Ammar,5,2022-09-05 6:08:52,"Brimo,,senang Skali menggunakan apk ini,,mantap mau tranferan jadi gampang dan nyaman,,"
yuldiansyah_Channel1998,5,2022-09-05 6:00:20,Sangat memudahkan kita bertransaksi tanpa ke bank/atm
Peni Putri,5,2022-09-05 5:58:55,Membantu sepanjang waktu
Fitri Syifa,5,2022-08-12 6:57:48,Sangat bermanfaat untuk menggunakan brimo dan membantu pegawai bank BRI juga sangat ramah dan sangat baik dan sering menawarkan bantuan saya suka pelayanan Bank BRI karena sangat membantu dan pegawainya juga sangat baik dan sangat ramah
Nia Friscila L,5,2022-09-05 5:54:56,Cepat dan gak ribett dah pake brimo
adifa mo_zhie,5,2022-08-12 5:20:46,"Transaksi jadi lebih mudah, gak perlu ribet2.. Ambil uang di ATM tanpa kartu serta transaksi lainnya jadi lebih mudah.. Thanks BRIMO..."
Tatang Kosasih,5,2022-09-05 5:53:52,Allhamdulilah trandaksi cepat dan mudah
Cindyy,5,2022-08-12 5:01:48,"Suka banget sama apknya, kalau masalah pengguna lain sulit saat verifikasi. Saya saranin seler bank nya aja langsung yang daftarin, soalnya saya juga dulu gitu, dan sampai sekarang baik baik aja tuh."
Hardika Eka,5,2022-09-05 5:50:52,"Sangat membantu saya,, tanpa menggunakan atm"
Tari Damanik,5,2022-09-05 5:49:55,Lancar dan menguntungkan
Saeful Bahri,5,2022-09-05 5:42:13,Simpel. praktis. Mudah di gunakan terimakasih BRImo
Lia Nurul,5,2022-09-05 5:35:02,Semua nya jadi lebih mudah .. gak perlu bolak balik ke bank ngantri.. thanks brimo...🤗♥️
irman irri,5,2022-09-05 5:33:52,"Cepat, mudah dan aman"
Bar Alfa,5,2022-09-05 5:29:02,"Ok, sangat membantu"
Sutrisno Sutrisno,5,2022-08-11 23:23:46,"Merasa terbantu dengan pelayanan yang cepat, tapi agak ribet kalau mengajukan pinjaman melalui aplikasi. Padahal kalau mudah kan bisa mengurangi porsi pinjaman di app selain bank."
Yogi Moropot,5,2022-09-05 5:28:33,Simple ga ribet bagus.
Erwan Djafar,5,2022-09-05 5:18:14,Pokoknya jd mudah👍👍👍
M. Ganda Setiawan,5,2022-09-05 5:07:41,Mantap . Sangat bermanfaat...
agus cool,5,2022-08-11 20:22:36,"Sangat membantu dan mudah di gunakan, enak buat beli token listrik maupun pulsa, dan kirim uang jg sangat mudah Terima kasih"
Sinarmas Sudibyo,5,2022-09-05 5:06:42,Mmudah digunakan. Untuk transaksi Tranfer lebih mudah
Malvin 7A,5,2022-09-05 5:03:01,Semakin cepat
puri dealova,5,2022-09-05 5:01:56,Transaksi lebih cepat
Vika Fadilla N. Pratama,4,2022-08-11 14:13:14,"Baik, tersedia berbagai fitur guna memudahkan dalam bertransaksi dimana saja dan kapan saja."
Andri Mbolo,5,2022-09-05 5:00:19,Transaksi bisa lacar.. Dimna dan kapan saja..
Anugrah,5,2022-09-05 4:58:06,Bagus sekali brimo
Suparno Samali,5,2022-08-11 12:47:56,"Segala sesuatu transaksi jd mudah dan aman, beaya admin ringan..registrasi BRIMO bisa dari smartphone nggak perlu datang ke kantor,duduk manis siapkan data²nya tinggal ikuti panduan langkah² selanjutnya enggak ribet kurleb 30 menit selesai.tks BRIMO"
Fanesa Saqina,5,2022-09-05 4:52:12,Sangat membantu
Marselina Ina,5,2022-08-11 11:35:19,"Sangat memuaskan. Sangat bagus lagi jika setiap uang masuk rekeking harus otomatis tercatat di pemasukan, sama halnya seperti di pengeluaran."
Arius Numberi,5,2022-09-05 4:48:40,Aplikasinya sangatlah berguna
Rahmi Sartika Dewi,5,2022-09-05 4:45:53,Sangat membantu 
Kangwar Photography,5,2022-09-05 4:41:14,"Menpermudah dalam segala hal trnsaksi, dl.."
engky lokya,5,2022-08-11 10:32:19,Mudah di gunakan...banyakin lagi dong fitur pengisian saldo nya ..kalo bisa lebih di tingkat kan lagi untuk proses keamanan nya
Ardian Primansa,5,2022-08-11 10:28:40,"Nice apps, tapi sering dibilang gada koneksi padahal sinyal aman dan kencang. Mohon diperbaiki lagi kedepannya"
Wartim,5,2022-09-05 4:40:47,Mantap dapat mempermudah transaksi
Asep Rama,5,2022-09-05 4:24:46,"Sangat membantu, aplikasinya sangat ok"
Mis Man,5,2022-09-05 4:24:37,aplikasiny sangat membantu..
Apri Lia,5,2022-08-11 7:08:53,"Aplikasi sudah berhasil digunakan, mungkin untuk yang berkendala di upload video bisa mencoba dengan ganti hp lain,😍😍😍"
Mis Man,5,2022-09-05 4:24:37,aplikasiny sangat membantu..
Numra Cintaku,5,2022-09-05 4:09:20,Sangat membantu dalam segi tranfer sesama
Mas Jeck,5,2022-08-11 5:17:06,Sangat membantu sekali.untuk semua urusan transaksi.semoga kedepannya lebih bagus lagi.dan lebih meningkat lagi.biar semua pengguna merasa aman dan nyaman.siiip.
Jessy Emping,5,2022-09-05 4:06:17,Aplikasi yang sangat bagus
Are`e`sh Sagara,5,2022-08-11 4:09:42,"Sangat puas... 👍👍👍👍 Yg bilang jelek yg bilang susah.. Baik ya anda blajar dulu.. D brimo sngat muda, dari pendaftaran sampai transaksi.🙏"
Pantek K,5,2022-09-05 4:06:03,Sangat membantu masyarakat... Juga mempermudah transaksi... Trimakasih brimo...
Mira Sartika,5,2022-09-05 3:37:12,Mempermudah transaksi tidak usah bolak balik ke ATM dengan aplikasi BRI mobile ini.
Masniah 6899,5,2022-09-05 3:35:52,Aplikasi ny sngat bgus untuk diprioritaskan
Ayah Yahya LUBIS,5,2022-08-11 3:11:43,"Sangat menyenangkan, aplikasi yang lengkap, mudah, dan canggih. BRImo harusnya dapet penghargaan sebagai Mobile Banking paling bagus karna pengguna mendapatkan detail transaksi terbaik, pembukuan terbaik dan layanan lengkap terbaik lainnya. Satu lagi, design dan feature nya juara!."
Joko Wahyono,5,2022-09-05 3:31:07,"Good...sangat membantu,praktis"
Joko Wahyono,5,2022-09-05 3:31:07,"Good...sangat membantu,praktis"
Nirma wati,5,2022-09-05 3:27:34,Sangat membantu
Suryo Dua,5,2022-09-05 3:20:59,Mantap sangat membantu sekali
Supardi Dg Ronrong,5,2022-09-05 3:18:12,Sangatlah membantu.makasi BRImo
Bagu75sajiwo sajiwo,5,2022-09-05 3:15:01,Joss ganjos mantapp..expres pikonya..
Taufik Cahya,5,2022-08-10 15:15:20,"Saran: Untuk catatan keuangan mungkin pengisian tanggal terisi otomatis hari ini, mungkin metode pembayaran atau kategori juga bisa dibuat defaultnya atau malah user bisa custom defaultnya seperti apa agar tidak terlalu lama setiap mau menambah daftar pengeluaran"
Shaquille Prabu,5,2022-09-05 3:12:34,Sangat membantu n sangat senang pelayanan terbaik...
trizz now,5,2022-09-05 3:10:15,"alhamdulillahh.. daftar cuma pake paket data,, langsung jadi. lancar lancar aj tuh g pke ribet"
Sarpono Pono,5,2022-08-10 14:26:22,"Saya g mau ribet,DTG ke KCP terdekat,daftar, dipandu sama pegawai yg ramah,glebiih dari 30menit,bisa pake brimo,mantap,transfer,bayar,pulsa,top up,jd mudah,g perlu nyari2 ATM."
Ar Queen,5,2022-09-05 3:08:56,Transaksi keuangan menjadi gampang
iwa rahman,5,2022-08-10 12:03:04,Aplikasinya sangat mudah di mengerti jadi bisa dengan cepat transfer uang ato belanja apapun semoga bri bisa lebih meningkat lagi performa nya ya
Risna,5,2022-09-05 3:08:40,"Bagus, walaupun awal""susah bgt buat daftar"
Vortex Glass,5,2022-09-05 3:08:35,Cepat dan mudah
Mamah Salma,5,2022-09-05 3:07:49,bermanfaat sekali buat yh tinggal di pelosok jauh dr akses bank/ tempat Atm
Trymo M Thoriq,5,2022-09-05 3:07:39,BRImo memang oke
wawek mania,5,2022-09-05 3:06:38,Sangat mudah bertransaksi
Syafaruddin,4,2022-09-05 3:06:21,Sangat bagus dan membantu
Moechild Rina,5,2022-09-05 2:58:27,"Aman,cepat, terpercaya"
Sucipto Amel,5,2022-09-05 2:58:13,"Mudah transaksi nya ,lancar urusannya"
Nadira Athala,5,2022-08-10 8:11:49,Lumayan dengan aplikasi brimob kita bisa tahu saldo kita.. Tanpa harus ke ATM cek saldo... Dgn aplikasi brimo kita bisa bertransaksi lewat qris... Tanpa repot bawa uang cash...
hen dri,5,2022-09-05 2:56:24,Keren abisss
hesty dwiningrum,5,2022-09-05 2:49:20,"Sangat membantu tdk perlu repot2 antri di bank atau di atm utk transfer,,,"
Nurul Nurul,5,2022-09-05 2:44:35,Sangat membantuu
Garong 22,5,2022-09-05 2:44:19,Bagus dan membantu
ranto hasibuan,5,2022-09-05 2:40:18,Sangat membantu dalam kehidupan sehari² saya. Terimakasih BRIMO
Andirwan Channel,5,2022-09-05 2:35:36,Sangat membantu dalam segala transaksi.
Jose Morreno,5,2022-09-05 2:32:54,Pelayanan cepat
Aris S,5,2022-09-05 2:31:10,Sangat membantu. Terimakasih BRI
Pur Wanto,5,2022-09-05 2:30:25,Semoga bagus terus
Yosieyvt Sofia,5,2022-09-05 2:27:21,Sangat membantu
Elys Nrhdyah,5,2022-09-05 2:24:56,Memang bagus banget pake apk brimo BRI..mantap
Ufan'ds bin Ladyen,5,2022-09-05 2:21:57,Mantapp
Azz Vianz,5,2022-08-09 19:04:17,"Untuk pendaftaran/registrasi di apk nya sangat mudah tdk perlu ke bank/cs jos banget deh dan untuk fitur nya juga lengkap top markotop ,memudahkan saya untuk transaksi makasih BRImo"
Adeevaa Auristella,5,2022-09-05 2:19:32,Apk yg sgt membantu buat transaksi perbankan sy
cr catur rizky,5,2022-09-05 2:18:56,Sangat membantu
Moh Adnan,5,2022-09-05 2:17:23,Sangat membantu
YosKa,5,2022-09-05 2:10:19,Alhamulillah dengan adanya brimo makin mudah untuk bertransaksi
Bambang Wijanarko,5,2022-09-05 2:02:56,"Aplikasi yang sangat membantu, terima kasih."
ABINYA AZKA CHANNEL,5,2022-09-05 1:57:29,Bagus cepat responnya
Fauziah Ifah,5,2022-09-05 1:55:51,Sangat terbantu dengan adanya aplikasi BRImo BRI
Abang Asfar,5,2022-09-05 1:52:47,Baguss sekali
Papa Royal,5,2022-09-05 1:43:42,Sangat baik
Susanti Santi,5,2022-09-05 1:39:27,Membantu memudahkan transaksi
supray 789 yadi,5,2022-09-05 1:31:58,Baik aman dan cepat
Hamka Putra Ryandani,5,2022-08-09 12:44:42,"Mantap juga ini aplikasi, lebih mudah bertransaksi dimana pun dan kapan pun, dan dalam 1 akun BRImo ternyata bisa di gabung lebih dari 1 rekening, jadi bebas mau pakai rekening yang mana pada saat transaksi, apalagi ada menu tarik tunai tanpa kartu, sip lahh 👍🏼👍🏼👍🏼 Tapi kalau bisa di tambah lagi dong fitur setor tunai tanpa kartu biar tidak lama antri di Bank saat mau nabung 😅 Oke min 🤙🏼"
supray 789 yadi,5,2022-09-05 1:31:58,Baik aman dan cepat
fachri junaedi,5,2022-09-05 1:24:16,Lebih mudah dan nyaman
Mimi orlin official,5,2022-09-05 1:21:43,Sangat membantu
Insan Darmawan,5,2022-09-05 1:15:33,Cepat dan mudah!!!
Lusmika Boby,5,2022-09-05 1:12:59,BRI Luar Biasaaaa.....
Mifthahul Jannah,5,2022-09-05 1:11:02,"Mantap,keren lengkap.."
jf monareh,5,2022-09-05 1:07:13,Very good
dHiMaZ Anggalih,5,2022-09-05 1:04:10,Sangat membantu
Surya Alfatih,5,2022-09-05 1:02:50,Sangat memudahkan saya dalam melakukan semua transaksi
siwa knata,5,2022-09-05 1:00:02,"Bagus, sangat membantu"
Hasbullah HI Abdurrahim,5,2022-09-05 0:57:40,"sangat memuaskan, tdk perlu repot² ngantri lagi😁😁 trimakasih"
iway Hazagura,5,2022-08-09 4:55:41,Aktivasi aplikasi paling cepat dan mudah lewat teller bank nya langsung gk sampai 10mnt sudah bisa di gunakan (asalau sabar ngantri di bank)
udi sena,5,2022-08-09 4:42:51,Apps BRImo sangat membantu...dengan apps ini sya bisa melakukan transaksi ga ribed harus keluar rumah...semoga tambah maju apps nya...pokoknya mantap👍🏻👍🏻👍🏻
Wahyu Wijanto,5,2022-09-05 0:48:02,"Sangat membantu, saya kasih bintang 5, pokok top"
Anik Susianti,5,2022-09-05 0:35:36,"Top markotop pkokNya, beli pulsa dan lain lain jdi mudah"
Henny Nurhaenny,5,2022-08-09 4:06:39,Semuanya menjadi lebih mudah dan gampang bayar listrik beli pulsa transfer bayar cicilan bisa d lakukan dengan sangat mudah d brimo
Niya Alfiana,5,2022-09-05 0:33:39,Terimakasih mbri mo sangat membantu
Jefri Naldi,5,2022-09-05 0:31:46,Mudah dan cepat
Depy Abenk,5,2022-09-05 0:31:30,"Sangat membantu dlm bertransaksi. Gak prlu antri ke atm, gak prlu keluar rumah😂"
